Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227816,5.44268555,4.711561725,3.890126441,5.121277897,4.522919217,4.489896498,5.177026873,4.670156369,5.293294719,5.077287775,3.83312394,4.7395674,5.23953291,6.535944939,6.671904986,7.058599354,6.013789757,5.045124799,5.571788185,6.464379125,6.521458779,6.013605658,6.061059359,6.552639878,7.113478213,6.590249998,7.31941263,7.881915151,3.448017551,6.938679124,7.099828776,5.77511237,4.223259113
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.90016186,2.334565592,3.430305914,3.396443622,2.683440741,4.207602003,6.054513839,10.94469206,-3.289882068,-9.117377096,-8.445355205,-7.27238799,-1.48021487,1.818011318,2.86201914,5.205392275,-14.11538049,3.789120192,-8.396091236,4.58722551,3.823704374,5.87193119,5.237153635,6.510425174,7.056349212,6.802588987,6.654387649,6.129558799,-3.347141367,1.555359635,2.09017527,0.748814897,-0.542751603,0.949448985,3.397553259,3.026628931,2.745926447,2.549464347,3.788850365,-3.215737434,7.780614814,4.038777583,1.886814839,2.810827752
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,1.607142855,11.07205623,13.92405066,8.472222244,-8.83482715,30.47629744,13.01764962,3.862268599,3.469268027,2.580279266,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999828,6.689998127,12.87000675,-0.250001381,3.929992393,4.110006317,3.092999234,4.790003593,4.299998244,5.300069403,2.490948753,3.348550671,6.296441291,6.980961759,6.768997378,6.46699952,8.293961291,6.24501095,2.539885702,4.334298975,1.928157912,3.80302899,5.292622249,4.308856927,2.507872053,3.814993274,4.953835341,2.05258865,2.052877744,-5.911362952,4.350040917,6.180161255,3.878116148,3.017248391
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.66709741,10.45197189,10.52405522,10.5015672,10.42559646,9.07192872,9.598113872,8.421763562,8.98166257,-5.649649504,1.626508741,-3.497335939,7.567568827,-16.75422908,-14.80312631,5.185184974,9.154929209,14.17952015,26.13929577,6.495281921,-9.226405081,6.698897747,3.597051867,14.17114864,4.829180105,1.797000233,2.984519339,2.309707662,6.727329807,-1.596249088,-4.181785023,-3.825582297,0.307806596,3.148915972,4.378752035,4.223530362,1.287753205,4.716798555,7.144103907,4.148419308,2.626009827,2.704956247,-1.264916676,0.882373745,3.396084205,2.516592217,1.446099912,-2.32364807,-4.175428056,1.538662487,0.613170736,4.520124103,-2.86328003,1.847305942,0.996748943,-1.156267038,3.371236486,2.398520006,-0.839051301,-20.08955543,17.58689737,10.87745501,3.048774963,3.378506607
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.348024999,-6.43690771,-2.18134849,11.13196549,15.96830096,54.19930017,36.64112847,16.6163745,9.521570186,5.41431595,2.423313172,5.027444207,3.867138795,6.325266169,3.89717799,5.414003571,5.857126342,5.443831035,-3.00445593,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,4.314750611,3.242255212,3.244100959,3.827499205,2.887343344,-3.015095148,7.38996234,4.226811011,1.994395203,2.480047084
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.199995705,-9.60000116,-7.600002028,-11.70000386,-10.4000004,2.800004577,11.40000541,8.39999149,3.399999201,5.800003268,4.725306041,5.04526755,7.043192499,11.44974313,9.400001526,9.999994718,8.600006601,10.19999952,0.199995215,7.750017066,5.549974723,1.70785257,0.998719279,1.651124685,-3.829570558,-2.526446436,2.5321835,3.149197594,1.446455477,-0.672742951,2.438862124,-4.658395916,4.126540072,4.009848525
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.89227701,4.892652265,4.956434177,4.999879812,4.930541008,4.770845184,4.913123209,7.36722545,5.106374705,4.807693394,3.95944112,10.21830376,5.351894106,13.55998522,3.592824377,-0.034020934,6.496594406,7.920807173,7.517021444,12.10874992,1.133297356,-0.106723586,-2.147435897,1.976198275,1.006423983,4.54738181,10.72695934,9.788480908,13.01084237,11.44649446,11.78067678,12.73104265,6.137999895,-0.019804922,0.732927252,1.106140308,4.235145386,3.890469749,9.424812536,12.24045958,4.993967755,5.397123855,9.666655654,4.780840488,2.219538842,4.511447376,3.353248291,-1.682116446,-0.389321468,1.114035787,-0.244543781,3.737775786,4.454326007,4.030845578,2.876183795,0.054551654,-1.812853541,1.11057125,4.267636896,-13.90291006,17.74617012,9.652977724,1.149016821,8.151789827
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.679999967,4.470000048,1.069999994,11.10999999,4.760000016,14.36363633,13.27503978,2.105263143,3.436426117,6.312292338,3.437500021,1.812688809,1.483679526,0.877192976,3.768115968,8.938547463,5.897435894,1.45278452,2.147971345,7.943925246,2.380952372,-5.285412264,2.008928582,0.481400441,-2.003484328,6.666666668,3.749999996,4.056224899,0.443844088,0.019212285,-3.534382094,-0.059738214,3.008567124,0.599613367,4.39914833,2.600475429,4.600000843,3.900000094,3.38264702,9.317156411,7.222435538,-1.477790598,3.410706677,2.321267223,1.674206114,5.54386638,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.307106461,-6.827573035,4.607429171,6.476225712,4.917215573,2.105368822
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.089295942,5.578917862,6.797625769,3.956596531,4.913441955,7.170589663,6.317219517,8.529443088,4.474097329,5.231029304,5.063336439,7.96748521,5.739161526,2.939567808,7.311017731,4.614567486,4.971215657,2.052694566,0.133344048,-1.371772911,0.275616373,-3.938737925,-4.042121403,-0.200665697,-1.676389783,-2.573884201,2.46348462,2.90949796,3.790130962,4.635787428,5.266526668,1.646498183,4.269296117,4.667265103,4.678276597,4.361341952,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569506,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564,-8.737884358,6.111372697,3.605680426,3.08196521,1.38468279
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.6,6.6,0.6,3.4,2.4,6.7,4.2,9.8,9.5,10.4,11.34292199,11.94034812,13.96872178,8.153938685,5.166649084,10.25712953,4.93432807,4.969897689,6.759560122,9.2,-4.25,0.83,-2.93,5.4,7.85,7.49,3.53,-0.06,3.16,-4.35,1.032189585,-0.54407205,4.924690004,5.852870362,4.223793634,2.20886405,3.394845986,0.338097901,0.467937566,4.387949447,1.389896401,3.053461859,1.140828998,5.759964637,3.202132061,3.961988711,6.069870607,5.094195447,-0.125812002,7.528225818,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.762604379,3.016694354,3.241655329,3.395866455
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.696529801,9.060758609,-5.07842108,5.004875755,11.43484349,4.003371242,10.63613615,6.921821329,7.518404795,9.509402991,3.912722439,1.273800672,1.340700424,-4.65084124,-1.900000003,4.36021101,3.642205758,4.876939311,7.893008143,4.373064812,-1.899751571,-4.900938478,0.501253133,3.600374065,1.098239807,5.104166667,2.590967011,3.50538228,3.6,-3.307593308,-3.899906913,-5.692520968,0.793068252,2.01078255,2.013998171,3.976476379,4.740103328,3.728464306,0.334656057,4.447189628,-2.365464667,0.787402032,2.175480794,1.411598307,3.955457208,6.070546217,2.079183863,0.633460591,-5.017275383,-2.217710856,-0.731434559,-0.313311151,-1.010381846,0.082405478,-0.846098521,1.791930334,0.128446002,-1.174065094,0.652585418,-15.05436295,-0.25496588,17.83286303,4.09382011,3.800000319
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,-0.645291579,20.87413983,9.934034846,7.019134261,24.33838869,-9.707960159,-22.384824,2.301529973,0.399377359,-2.376593675,-2.907244079,-5.407220318,2.083544224,-1.535863185,-2.726214425,2.643073566,2.910656207,-3.120618823,-0.633649832,0.992734654,1.347293823,-0.02731525,6.343945204,-6.657159467,4.260722449,3.47467625,1.466060511,3.961439117,3.583428926,0.10453844,-0.003925189,4.09841261,-3.763623476,-3.900710821,-1.900253862,2.741364335,3.744406387,0.913135324,-2.124783186,-2.507887216,-0.392383488,-2.477917765,1.328726513,0.052371054,3.868844164,1.133573406,-1.590762481,-1.62833154,1.127644192,4.200372735
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,2.677100487,1.163257098,1.467089636,5.158264931,-3.307320698,8.954650284,7.90123455,7.126511958,4.790967348,5.008736163,15.12229484,3.439773852,10.43101594,4.556658993,4.028532999,11.3921976,29.05432385,4.76737302,7.355567319,10.38311791,-0.407875723,4.600891249,1.98636656,4.951503725,7.074117458,5.565172882,5.373838546,5.914030936,7.983971794,3.355068382,7.328374357,10.44377972,7.786560409,5.157257362,6.935071468,5.640805154,16.10478365,4.529448777,7.667492386,11.93187384,8.489258484,5.164820127,1.736340395,5.881085507,6.660801289,8.475943392,2.086845227,3.501871857,5.755148512,-10.21839742,4.421367389,5.213867838,4.882593963,
